bin	Depth zymo_fecal	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scores_archaea_odb12_busco	Scores_bacteria_odb12_busco	Scores_eukaryota_odb12_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Internal stop codon percent_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
FLYE-MetaBAT2-zymo_fecal.19.fa	35.3981	FLYE-MetaBAT2-zymo_fecal.19.fa	verrucomicrobiota_odb12	97.2	96.9	0.3	0.0	2.8	388.0	11	C:17.9%[S:17.4%,D:0.5%],F:4.1%,M:77.9%,n:195	C:92.2%[S:90.5%,D:1.7%],F:3.4%,M:4.3%,n:116	C:3.1%[S:3.1%,D:0.0%],F:0.0%,M:96.9%,n:129,E:75.0%	2910515.0	2910515	0.000%	1.0		FLYE-MetaBAT2-zymo_fecal.19.fa	100.0	0.4	Neural Network (Specific Model)	11	0.88	2910515	2474	FLYE-MetaBAT2-zymo_fecal.19	FLYE-MetaBAT2-zymo_fecal.19.fa	1	1	1	1	1	1	2910515	2910515	2910515	2910515	2910515	2910515	1	2910515	2910515	55.26	2910515	2910515	1	1	0.0	9 + 0 part	FLYE-MetaBAT2-zymo_fecal.19.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.86	0.952							ani_screen	classification based on ANI only	GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 84.89, 0.33; GCF_036417355.1, s__Akkermansia sp004167605, 95.0, 81.67, 0.153; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.6, 0.36; GCA_048388685.1, s__Akkermansia sp048388685, 95.0, 84.72, 0.333; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 86.86, 0.472; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 93.99, 0.837; GCF_040616545.1, s__Akkermansia muciniphila_E, 95.0, 85.38, 0.375; GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.32, 0.815; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.2, 0.152; GCF_023516715.1, s__Akkermansia massiliensis, 95.02, 87.42, 0.498; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 81.87, 0.166				
FLYE-MetaBAT2-zymo_fecal.190.fa	57.9872	FLYE-MetaBAT2-zymo_fecal.190.fa	blautia_odb12	65.0	60.2	4.9	0.1	34.9	1047.0	11	C:13.3%[S:11.8%,D:1.5%],F:1.5%,M:85.1%,n:195	C:70.7%[S:59.5%,D:11.2%],F:2.6%,M:26.7%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129,E:50.0%	84453.0	84453	0.000%	40.0		FLYE-MetaBAT2-zymo_fecal.190.fa	67.75	6.6	Neural Network (Specific Model)	11	0.857	2536952	2256	FLYE-MetaBAT2-zymo_fecal.190	FLYE-MetaBAT2-zymo_fecal.190.fa	40	40	39	36	30	20	2536952	2536952	2532260	2505970	2385363	2023981	40	328619	2536952	41.6	84453	55352	9	18	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.190.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	98.24	0.758							ani_screen	classification based on ANI only	GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 86.51, 0.171; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 87.89, 0.224; GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 89.49, 0.306; GCF_052064095.1, s__Blautia_A sp052064095, 95.4, 89.56, 0.22; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 89.85, 0.231; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 97.69, 0.325; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 95.63, 0.589; GCA_934416185.1, s__Blautia_A sp934416185, 95.0, 85.92, 0.176; GCF_033096465.1, s__Blautia_A luti, 95.0, 89.39, 0.222; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 88.58, 0.258				
FLYE-MetaBAT2-zymo_fecal.191.fa	9.25602	FLYE-MetaBAT2-zymo_fecal.191.fa	eukaryota_odb12	20.7	20.7	0.0	2.6	76.7	116.0	11	C:3.6%[S:3.6%,D:0.0%],F:1.0%,M:95.4%,n:195	C:20.7%[S:20.7%,D:0.0%],F:2.6%,M:76.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:129	170084.0	170084	0.000%	9.0		FLYE-MetaBAT2-zymo_fecal.191.fa	24.22	0.3	Neural Network (Specific Model)	11	0.871	978208	858	FLYE-MetaBAT2-zymo_fecal.191	FLYE-MetaBAT2-zymo_fecal.191.fa	9	9	9	9	9	6	978208	978208	978208	978208	978208	885230	9	373771	978208	55.84	170084	93109	2	4	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.191.fa																			
FLYE-MetaBAT2-zymo_fecal.192.fa	3.23241	FLYE-MetaBAT2-zymo_fecal.192.fa	eukaryota_odb12	9.5	9.5	0.0	5.2	85.3	116.0	11	C:3.6%[S:3.6%,D:0.0%],F:1.0%,M:95.4%,n:195	C:9.5%[S:9.5%,D:0.0%],F:5.2%,M:85.3%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	36732.0	36732	0.000%	13.0		FLYE-MetaBAT2-zymo_fecal.192.fa	13.49	0.0	Neural Network (Specific Model)	11	0.892	360470	400	FLYE-MetaBAT2-zymo_fecal.192	FLYE-MetaBAT2-zymo_fecal.192.fa	13	13	13	11	4	1	360470	360470	360470	348361	230804	112271	13	112271	360470	50.06	36732	23260	3	6	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.192.fa																			
FLYE-MetaBAT2-zymo_fecal.193.fa	8.35371	FLYE-MetaBAT2-zymo_fecal.193.fa	varicellovirus_odb10	2.6	2.6	0.0	0.9	96.6	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:195	C:2.6%[S:2.6%,D:0.0%],F:0.9%,M:96.6%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	50337.0	50337	0.000%	6.0		FLYE-MetaBAT2-zymo_fecal.193.fa	7.06	0.14	Neural Network (Specific Model)	11	0.865	257410	276	FLYE-MetaBAT2-zymo_fecal.193	FLYE-MetaBAT2-zymo_fecal.193.fa	6	6	6	6	5	2	257410	257410	257410	257410	243150	130214	6	79877	257410	53.93	50337	35764	2	4	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.193.fa																			
FLYE-MetaBAT2-zymo_fecal.194.fa	27.5854	FLYE-MetaBAT2-zymo_fecal.194.fa	eubacteriales_odb12	92.5	91.7	0.8	0.4	7.1	240.0	11	C:15.4%[S:14.9%,D:0.5%],F:3.6%,M:81.0%,n:195	C:94.0%[S:93.1%,D:0.9%],F:0.9%,M:5.2%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129	169722.0	169722	0.000%	22.0		FLYE-MetaBAT2-zymo_fecal.194.fa	87.64	0.45	Neural Network (Specific Model)	11	0.833	2624314	2300	FLYE-MetaBAT2-zymo_fecal.194	FLYE-MetaBAT2-zymo_fecal.194.fa	22	22	22	22	21	17	2624314	2624314	2624314	2624314	2613517	2470010	22	370594	2624314	55.91	169722	99908	6	11	0.0	3 + 0 part	FLYE-MetaBAT2-zymo_fecal.194.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.79	0.812							ani_screen	classification based on ANI only	GCA_963626055.1, s__Gemmiger sp963626055, 95.0, 92.22, 0.66				
FLYE-MetaBAT2-zymo_fecal.195.fa	5.74017	FLYE-MetaBAT2-zymo_fecal.195.fa	bacteroidales_odb12	39.7	39.7	0.0	1.0	59.4	517.0	11	C:11.8%[S:11.8%,D:0.0%],F:1.5%,M:86.7%,n:195	C:48.3%[S:47.4%,D:0.9%],F:0.9%,M:50.9%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	203110.0	203110	0.000%	7.0		FLYE-MetaBAT2-zymo_fecal.195.fa	32.81	0.4	Neural Network (Specific Model)	11	0.859	1298088	1098	FLYE-MetaBAT2-zymo_fecal.195	FLYE-MetaBAT2-zymo_fecal.195.fa	7	7	7	7	7	6	1298088	1298088	1298088	1298088	1298088	1248985	7	290803	1298088	40.31	203110	164334	3	5	0.0	6 + 3 part	FLYE-MetaBAT2-zymo_fecal.195.fa																			
FLYE-MetaBAT2-zymo_fecal.196.fa	58.0908	FLYE-MetaBAT2-zymo_fecal.196.fa	varicellovirus_odb10	1.7	0.9	0.9	0.9	97.4	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:195	C:1.7%[S:0.9%,D:0.9%],F:0.9%,M:97.4%,n:116	C:0.8%[S:0.0%,D:0.8%],F:0.0%,M:99.2%,n:129,E:100.0%	56994.0	56994	0.000%	11.0		FLYE-MetaBAT2-zymo_fecal.196.fa	9.82	0.11	Neural Network (Specific Model)	11	0.91	439800	355	FLYE-MetaBAT2-zymo_fecal.196	FLYE-MetaBAT2-zymo_fecal.196.fa	11	11	11	10	6	3	439800	439800	439800	433209	353490	253128	11	98160	439800	44.8	56994	26397	3	6	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.196.fa																			
FLYE-MetaBAT2-zymo_fecal.197.fa	18.56015	FLYE-MetaBAT2-zymo_fecal.197.fa	eukaryota_odb12	44.0	44.0	0.0	0.0	56.0	116.0	11	C:11.3%[S:10.8%,D:0.5%],F:1.0%,M:87.7%,n:195	C:44.0%[S:44.0%,D:0.0%],F:0.0%,M:56.0%,n:116	C:1.6%[S:0.8%,D:0.8%],F:0.8%,M:97.7%,n:129,E:50.0%	334188.0	334188	0.000%	10.0		FLYE-MetaBAT2-zymo_fecal.197.fa	55.7	0.29	Neural Network (Specific Model)	11	0.856	1310639	1188	FLYE-MetaBAT2-zymo_fecal.197	FLYE-MetaBAT2-zymo_fecal.197.fa	10	10	10	10	10	8	1310639	1310639	1310639	1310639	1310639	1236183	10	359510	1310639	53.83	334188	86656	2	5	0.0	6 + 0 part	FLYE-MetaBAT2-zymo_fecal.197.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.02	0.887							ani_screen	classification based on ANI only					
FLYE-MetaBAT2-zymo_fecal.198.fa	3.06324	FLYE-MetaBAT2-zymo_fecal.198.fa	varicellovirus_odb10	1.7	1.7	0.0	0.0	98.3	116.0	11	C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:195	C:1.7%[S:1.7%,D:0.0%],F:0.0%,M:98.3%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	35965.0	35965	0.000%	10.0		FLYE-MetaBAT2-zymo_fecal.198.fa	5.7	0.0	Neural Network (Specific Model)	11	0.835	255001	274	FLYE-MetaBAT2-zymo_fecal.198	FLYE-MetaBAT2-zymo_fecal.198.fa	10	10	10	9	5	0	255001	255001	255001	249690	188376	0	10	49444	255001	60.28	35965	17488	3	6	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.198.fa																			
FLYE-MetaBAT2-zymo_fecal.199.fa	3.95144	FLYE-MetaBAT2-zymo_fecal.199.fa	eukaryota_odb12	4.3	4.3	0.0	1.7	94.0	116.0	11	C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:195	C:4.3%[S:4.3%,D:0.0%],F:1.7%,M:94.0%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	39648.0	39648	0.000%	13.0		FLYE-MetaBAT2-zymo_fecal.199.fa	9.26	0.11	Neural Network (Specific Model)	11	0.811	346979	371	FLYE-MetaBAT2-zymo_fecal.199	FLYE-MetaBAT2-zymo_fecal.199.fa	13	13	13	12	4	1	346979	346979	346979	337952	196343	60650	13	60650	346979	46.18	39648	19240	4	7	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.199.fa																			
FLYE-MetaBAT2-zymo_fecal.2.fa	13.29905	FLYE-MetaBAT2-zymo_fecal.2.fa	varicellovirus_odb10	8.3	8.3	0.0	0.0	91.7	12.0	1	C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:195	C:1.7%[S:1.7%,D:0.0%],F:0.9%,M:97.4%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	61231.0	61231	0.000%	6.0		FLYE-MetaBAT2-zymo_fecal.2.fa	10.66	0.0	Neural Network (Specific Model)	11	0.822	238948	200	FLYE-MetaBAT2-zymo_fecal.2	FLYE-MetaBAT2-zymo_fecal.2.fa	6	6	6	5	4	3	238948	238948	238948	231534	214995	177506	6	62298	238948	45.73	61231	37489	2	4	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.2.fa																			
FLYE-MetaBAT2-zymo_fecal.20.fa	11.1879	FLYE-MetaBAT2-zymo_fecal.20.fa	lachnospiraceae_odb12	84.0	82.9	1.1	0.2	15.8	444.0	11	C:16.4%[S:14.9%,D:1.5%],F:2.1%,M:81.5%,n:195	C:86.2%[S:82.8%,D:3.4%],F:1.7%,M:12.1%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.7%,n:129	393351.0	393351	0.000%	13.0		FLYE-MetaBAT2-zymo_fecal.20.fa	91.56	1.2	Gradient Boost (General Model)	11	0.893	3437257	3236	FLYE-MetaBAT2-zymo_fecal.20	FLYE-MetaBAT2-zymo_fecal.20.fa	13	13	13	13	13	12	3437257	3437257	3437257	3437257	3437257	3404573	13	663316	3437257	41.27	393351	324301	4	6	0.0	15 + 0 part	FLYE-MetaBAT2-zymo_fecal.20.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp001916965	GCA_001916965.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp001916965	98.6	0.758							ani_screen	classification based on ANI only	GCA_963596435.1, s__COE1 sp963596435, 95.0, 94.03, 0.614; GCA_900753305.1, s__COE1 sp900753305, 95.0, 85.91, 0.2; GCA_964422225.1, s__COE1 sp964422225, 95.0, 86.35, 0.167				
FLYE-MetaBAT2-zymo_fecal.200.fa	3.948445	FLYE-MetaBAT2-zymo_fecal.200.fa	eukaryota_odb12	6.9	6.9	0.0	0.9	92.2	116.0	11	C:1.5%[S:1.5%,D:0.0%],F:0.5%,M:97.9%,n:195	C:6.9%[S:6.9%,D:0.0%],F:0.9%,M:92.2%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:129	68054.0	68054	0.000%	6.0		FLYE-MetaBAT2-zymo_fecal.200.fa	9.39	0.43	Neural Network (Specific Model)	11	0.861	302165	332	FLYE-MetaBAT2-zymo_fecal.200	FLYE-MetaBAT2-zymo_fecal.200.fa	6	6	6	6	5	2	302165	302165	302165	302165	287646	180757	6	112703	302165	55.13	68054	33413	2	4	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.200.fa																			
FLYE-MetaBAT2-zymo_fecal.201.fa	18.7036	FLYE-MetaBAT2-zymo_fecal.201.fa	eukaryota_odb12	17.2	17.2	0.0	0.9	81.9	116.0	11	C:4.1%[S:4.1%,D:0.0%],F:0.5%,M:95.4%,n:195	C:17.2%[S:17.2%,D:0.0%],F:0.9%,M:81.9%,n:116	C:1.6%[S:1.6%,D:0.0%],F:0.0%,M:98.4%,n:129,E:50.0%	203268.0	203268	0.000%	4.0		FLYE-MetaBAT2-zymo_fecal.201.fa	12.76	0.15	Neural Network (Specific Model)	11	0.863	342904	301	FLYE-MetaBAT2-zymo_fecal.201	FLYE-MetaBAT2-zymo_fecal.201.fa	4	4	4	4	3	2	342904	342904	342904	342904	319824	290023	4	203268	342904	59.43	203268	86755	1	2	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.201.fa																			
FLYE-MetaBAT2-zymo_fecal.202.fa	27.3832	FLYE-MetaBAT2-zymo_fecal.202.fa	eukaryota_odb12	4.3	4.3	0.0	0.9	94.8	116.0	11	C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:195	C:4.3%[S:4.3%,D:0.0%],F:0.9%,M:94.8%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	220093.0	220093	0.000%	1.0		FLYE-MetaBAT2-zymo_fecal.202.fa	6.46	0.01	Neural Network (Specific Model)	11	0.87	220093	257	FLYE-MetaBAT2-zymo_fecal.202	FLYE-MetaBAT2-zymo_fecal.202.fa	1	1	1	1	1	1	220093	220093	220093	220093	220093	220093	1	220093	220093	56.92	220093	220093	1	1	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.202.fa																			
FLYE-MetaBAT2-zymo_fecal.203.fa	9.903495	FLYE-MetaBAT2-zymo_fecal.203.fa	eukaryota_odb12	64.7	51.7	12.9	2.6	32.8	116.0	11	C:14.4%[S:11.8%,D:2.6%],F:3.1%,M:82.6%,n:195	C:64.7%[S:51.7%,D:12.9%],F:2.6%,M:32.8%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:129,E:100.0%	221272.0	221272	0.000%	12.0		FLYE-MetaBAT2-zymo_fecal.203.fa	69.96	11.08	Gradient Boost (General Model)	11	0.887	2237371	2104	FLYE-MetaBAT2-zymo_fecal.203	FLYE-MetaBAT2-zymo_fecal.203.fa	12	12	12	12	11	10	2237371	2237371	2237371	2237371	2225197	2184942	12	399320	2237371	61.43	221272	186044	4	7	0.0	3 + 0 part	FLYE-MetaBAT2-zymo_fecal.203.fa																			
FLYE-MetaBAT2-zymo_fecal.204.fa	3.70064	FLYE-MetaBAT2-zymo_fecal.204.fa	eukaryota_odb12	24.1	24.1	0.0	5.2	70.7	116.0	11	C:8.2%[S:8.2%,D:0.0%],F:0.5%,M:91.3%,n:195	C:24.1%[S:24.1%,D:0.0%],F:5.2%,M:70.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	39492.0	39492	0.000%	17.0		FLYE-MetaBAT2-zymo_fecal.204.fa	22.49	0.01	Neural Network (Specific Model)	11	0.854	516186	490	FLYE-MetaBAT2-zymo_fecal.204	FLYE-MetaBAT2-zymo_fecal.204.fa	17	17	17	15	6	2	516186	516186	516186	499122	347519	200494	17	102786	516186	62.32	39492	23838	4	8	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.204.fa																			
FLYE-MetaBAT2-zymo_fecal.205.fa	6.44047	FLYE-MetaBAT2-zymo_fecal.205.fa	eubacteriales_odb12	82.1	82.1	0.0	1.7	16.2	240.0	11	C:14.9%[S:14.4%,D:0.5%],F:1.5%,M:83.6%,n:195	C:78.4%[S:77.6%,D:0.9%],F:2.6%,M:19.0%,n:116	C:2.3%[S:2.3%,D:0.0%],F:0.0%,M:97.7%,n:129,E:33.3%	124829.0	124829	0.000%	25.0		FLYE-MetaBAT2-zymo_fecal.205.fa	90.26	0.15	Gradient Boost (General Model)	11	0.847	1995748	1965	FLYE-MetaBAT2-zymo_fecal.205	FLYE-MetaBAT2-zymo_fecal.205.fa	25	25	25	25	19	16	1995748	1995748	1995748	1995748	1887628	1767358	25	219764	1995748	58.25	124829	65887	6	12	0.0	10 + 0 part	FLYE-MetaBAT2-zymo_fecal.205.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	GCA_020687125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	97.29	0.821							ani_screen	classification based on ANI only	GCA_934572445.1, s__Hominicoprocola sp934572445, 95.0, 87.01, 0.242; GCA_934561515.1, s__Hominicoprocola sp900556145, 95.0, 86.98, 0.343; GCA_900763705.1, s__Hominicoprocola sp900763705, 95.0, 89.33, 0.485; GCA_002405995.1, s__Hominicoprocola sp002405995, 95.0, 85.36, 0.245; GCA_934572465.1, s__Hominicoprocola sp934572465, 95.0, 85.87, 0.246; GCA_900546295.1, s__Hominicoprocola sp900546295, 95.0, 87.82, 0.382; GCA_900768135.1, s__Hominicoprocola sp900768135, 95.0, 84.2, 0.194; GCA_937884915.1, s__Hominicoprocola sp937884915, 95.0, 92.78, 0.5; GCA_963612845.1, s__Hominicoprocola sp963612845, 95.0, 83.5, 0.181; GCA_037343695.1, s__Hominicoprocola sp037343695, 95.0, 90.8, 0.431; GCA_934597535.1, s__Hominicoprocola sp934597535, 95.0, 87.93, 0.337; GCA_963623615.1, s__Hominicoprocola sp963623615, 95.0, 92.35, 0.549; GCA_040095065.1, s__Hominicoprocola sp934835795, 96.51, 96.6, 0.758; GCA_003522105.1, s__Hominicoprocola sp003522105, 95.0, 88.36, 0.351; GCA_934636865.1, s__Hominicoprocola sp934636865, 95.0, 86.99, 0.365; GCA_900550165.1, s__Hominicoprocola sp900550165, 95.0, 89.54, 0.445; GCA_900552015.1, s__Hominicoprocola sp900552015, 95.0, 90.77, 0.503				
FLYE-MetaBAT2-zymo_fecal.206.fa	38.97915	FLYE-MetaBAT2-zymo_fecal.206.fa	eukaryota_odb12	3.4	3.4	0.0	3.4	93.1	116.0	11	C:1.5%[S:1.5%,D:0.0%],F:0.0%,M:98.5%,n:195	C:3.4%[S:3.4%,D:0.0%],F:3.4%,M:93.1%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	126769.0	126769	0.000%	6.0		FLYE-MetaBAT2-zymo_fecal.206.fa	9.57	0.21	Neural Network (Specific Model)	11	0.869	500537	460	FLYE-MetaBAT2-zymo_fecal.206	FLYE-MetaBAT2-zymo_fecal.206.fa	6	6	6	6	5	4	500537	500537	500537	500537	483831	437723	6	141383	500537	45.14	126769	116854	2	3	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.206.fa																			
FLYE-MetaBAT2-zymo_fecal.207.fa	3.678255	FLYE-MetaBAT2-zymo_fecal.207.fa	eukaryota_odb12	3.4	3.4	0.0	0.9	95.7	116.0	11	C:2.6%[S:2.6%,D:0.0%],F:0.0%,M:97.4%,n:195	C:3.4%[S:3.4%,D:0.0%],F:0.9%,M:95.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	33823.0	33823	0.000%	8.0		FLYE-MetaBAT2-zymo_fecal.207.fa	8.65	0.0	Neural Network (Specific Model)	11	0.889	212647	220	FLYE-MetaBAT2-zymo_fecal.207	FLYE-MetaBAT2-zymo_fecal.207.fa	8	8	8	7	3	1	212647	212647	212647	206155	141884	77428	8	77428	212647	44.28	33823	24279	2	4	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.207.fa																			
FLYE-MetaBAT2-zymo_fecal.208.fa	4.67618	FLYE-MetaBAT2-zymo_fecal.208.fa	eukaryota_odb12	6.9	6.9	0.0	0.0	93.1	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:195	C:6.9%[S:6.9%,D:0.0%],F:0.0%,M:93.1%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	71519.0	71519	0.000%	4.0		FLYE-MetaBAT2-zymo_fecal.208.fa	7.02	0.0	Neural Network (Specific Model)	11	0.856	211900	221	FLYE-MetaBAT2-zymo_fecal.208	FLYE-MetaBAT2-zymo_fecal.208.fa	4	4	4	4	3	2	211900	211900	211900	211900	201849	168074	4	96555	211900	47.04	71519	71519	2	2	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.208.fa																			
FLYE-MetaBAT2-zymo_fecal.209.fa	3.23523																		FLYE-MetaBAT2-zymo_fecal.209.fa	6.57	0.04	Neural Network (Specific Model)	11	0.874	251425	298	FLYE-MetaBAT2-zymo_fecal.209	FLYE-MetaBAT2-zymo_fecal.209.fa	19	19	16	13	1	0	251425	251425	241468	216942	29726	0	19	29726	251425	34.43	16671	12619	6	11	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.209.fa																			
FLYE-MetaBAT2-zymo_fecal.21.fa	4.674175	FLYE-MetaBAT2-zymo_fecal.21.fa	eukaryota_odb12	8.6	8.6	0.0	0.9	90.5	116.0	11	C:1.5%[S:1.5%,D:0.0%],F:0.5%,M:97.9%,n:195	C:8.6%[S:8.6%,D:0.0%],F:0.9%,M:90.5%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	55981.0	55981	0.000%	4.0		FLYE-MetaBAT2-zymo_fecal.21.fa	11.64	0.04	Neural Network (Specific Model)	11	0.864	212737	195	FLYE-MetaBAT2-zymo_fecal.21	FLYE-MetaBAT2-zymo_fecal.21.fa	4	4	4	3	3	2	212737	212737	212737	203090	203090	154906	4	98925	212737	54.06	55981	48184	2	3	0.0	0 + 0 part	FLYE-MetaBAT2-zymo_fecal.21.fa																			
